TimeEstimation,TimeReal,clear_description,counting,current_trial,current_type,english_first,user_id_concent,video_really_lasted,TimeOfDay,alone,knew
30,24,Completely clear,No,2181,prosp_hl,Yes,2r4lqKxr27Gpz5U,24002,,No,
120,64,Clear,No,2648,prosp_hl,Yes,ruhiP6qBgPfDexj,73532,,Yes,
30,12,Completely clear,No,755,prosp_hl,Yes,TsJxRID7jPMlxUP,12003,,No,
5,4,Completely clear,Yes,1786,prosp_hl,No,Lr4dblIJkvKvbpr,46099,,Yes,
3,2,Clear,No,720,prosp_hl,No,rdkCs2Jx58TfspD,2251,,Yes,
25,24,Somewhat unclear,No,3661,prosp_hl,Yes,7ONeDQAzBPc4RAe,55746,,Yes,
100,48,Completely clear,No,3784,prosp_hl,Yes,h5dU4TjXy56FHBC,108744,,Yes,
20,16,Completely clear,No,3080,prosp_hl,Yes,NVW77cIkAP3mwhz,72769,,No,
7,6,Completely clear,No,3723,prosp_hl,Yes,jVFSlgkOAzTk2kw,8210,,Yes,
10,8,Completely clear,No,1811,prosp_hl,Yes,2xtpSHIuMHz8CCv,8257,,Yes,
50,48,Clear,No,887,prosp_hl,Yes,fy4fsy2og1YPlr3,48251,,Yes,
30,24,Somewhat unclear,No,3793,prosp_hl,Yes,gSBwIysTIL6mQPQ,24110,,No,
20,6,Clear,No,2273,prosp_hl,Yes,2btTu34F6ct9B1u,20239,,Yes,
8,6,Clear,No,73,prosp_hl,Yes,HUqEQSzaG9jdrbd,6143,,No,
20,6,Completely clear,Yes,2749,prosp_hl,Yes,IFzAjjjtRrDNTDU,15781,,Yes,
10,8,Clear,No,4063,prosp_hl,Yes,rIbgG4XOTnGoJqi,8026,,No,
8,6,Clear,No,742,prosp_hl,Yes,8erG7FhLlHpS6ov,6502,,Yes,
13,16,Somewhat unclear,No,2837,prosp_hl,No,BKK1WJS91ssjd4N,16254,,No,
3,2,Clear,No,25,prosp_hl,Yes,VkOf3HpmW9anU1E,2251,,Yes,
60,48,Clear,No,1523,prosp_hl,Yes,IHJkcotQLytnOuX,75990,,No,
8,6,Completely clear,No,3819,prosp_hl,No,PQS4FaUGgmvlsud,6250,,Yes,
5,6,Clear,No,885,prosp_hl,Yes,s1B1lCm0ShrCoMh,6254,,Yes,
360,64,Clear,No,3882,prosp_hl,Yes,Y6hryzMfdCfHHTO,144647,,Yes,
5,6,Completely clear,No,898,prosp_hl,Yes,ZT7fXS6gBZYzDbZ,9536,,No,
30,24,Clear,No,1246,prosp_hl,Yes,i41PHWWDAFAvGsO,24395,,Yes,
1,1,Completely clear,No,2257,prosp_hl,Yes,bikP6wdzKw95Agc,1506,,Yes,
15,24,Clear,No,2507,prosp_hl,Yes,eprr5AB06kxRXBS,24253,,No,
5,4,Clear,No,3922,prosp_hl,No,FbZXbF39kYTqFbK,4256,,No,
0.5,1.5,Completely clear,No,3504,prosp_hl,No,CKgSgFljhMkOYKa,1752,,No,
120,32,Completely clear,Yes,903,prosp_hl,Yes,wZDPm23Efo9PeOH,66577,,No,
25,48,Completely clear,No,2567,prosp_hl,Yes,xa1E7tGQR9NlIX3,50055,,No,
25,24,Completely clear,No,4072,prosp_hl,Yes,bfNpGDDLHEveOmO,24253,,Yes,
200,1,Clear,Yes,1871,prosp_hl,Yes,vZ7zdeu75pmtSvR,10150,,Yes,
10,3,Somewhat unclear,No,3229,prosp_hl,Yes,Iabn4GuNMEaI0A2,10416,,Yes,
90,24,Completely clear,No,861,prosp_hl,Yes,s2BvEHPOeaWLkg6,81696,,No,
15,12,Clear,No,2622,prosp_hl,Yes,vo8XfMN0pnPhEdh,12003,,Yes,
5,6,Clear,No,4268,prosp_hl,Yes,5GsgU7yS2suWwYN,9757,,No,
3,1,Clear,No,2035,prosp_hl,Yes,bFmTJ6ak2QmB770,1002,,No,
4,4,Completely clear,Yes,2985,prosp_hl,Yes,X32sce76yENCN1u,6211,,No,
60,48,Completely clear,Yes,1952,prosp_hl,Yes,GuLB2MzIqzeO6hZ,86314,,Yes,
3,2,Clear,No,1058,prosp_hl,Yes,O5p19hjKHsJlPtQ,2002,,Yes,
30,16,Completely clear,No,2854,prosp_hl,Yes,j0qhqeo7zNqaxkG,16255,,Yes,
32,32,Clear,No,879,prosp_hl,Yes,Ms2FxHblJzDTexs,32003,,Yes,
10,32,Completely clear,Yes,2431,prosp_hl,Yes,uk7ONZuvhSDf4L3,39251,,No,
1,1,Completely clear,No,1059,prosp_hl,Yes,h3gNqdj3hh5LdBY,1002,,No,
0.3,1,Somewhat unclear,No,1873,prosp_hl,Yes,Vsn7BFUS5yAKgk0,1260,,No,
10,16,Clear,No,467,prosp_hl,Yes,yNaf3UQ8b62rA5D,16637,,No,
25,24,Completely clear,No,4134,prosp_hl,Yes,Gajgysf4JqoK91c,24002,,Yes,
20,16,Clear,No,2010,prosp_hl,Yes,5k6dei5vbppbcz1,16252,,No,
10,12,Completely clear,No,2835,prosp_hl,Yes,3kxMNmryHvRWylJ,12095,,No,
5,3,Clear,No,2306,prosp_hl,Yes,6W1RM9xwwUxdg7C,3003,,Yes,
69,64,Completely clear,No,1018,prosp_hl,Yes,gN4qkSRIBm2bh0X,64251,,Yes,
4,4,Clear,No,2849,prosp_hl,Yes,tKsh12GXL9crqbx,4252,,Yes,
5,4,Clear,No,3207,prosp_hl,No,MVswzE2chN4FNdC,4251,,Yes,
45,48,Completely clear,No,2684,prosp_hl,Yes,5DhAhA7jtXnRA9b,48001,,No,
32.5,24,Somewhat unclear,No,1101,prosp_hl,Yes,NYDgLK6L8FYTYiq,24003,,Yes,
35,32,Clear,No,4230,prosp_hl,Yes,y2h3VA8yYulrw0c,32003,,No,
25,8,Completely clear,No,2304,prosp_hl,Yes,GaenOnPqGFvYjDS,8008,,No,
3,2,Clear,No,3473,prosp_hl,Yes,EWlMTsXKzR7Actn,1909,,No,
25,2,Completely clear,No,1653,prosp_hl,Yes,NaqSePRpY70Hi9h,23672,,Yes,
4,3,Completely clear,Yes,1688,prosp_hl,Yes,g7qTq2xRC0C25Bt,3047,,Yes,
3,2,Completely clear,No,3695,prosp_hl,Yes,mIOYZE5uV4MQMfA,2002,,Yes,
2,3,Completely clear,No,2222,prosp_hl,Yes,2yxrjqGmmsvu2CO,3251,,No,
3,3,Clear,No,66,prosp_hl,No,dkGeNctgWjHldif,3202,,No,
49,32,Clear,No,2682,prosp_hl,Yes,YtskriivYxEAI0T,32252,,No,
15,8,Completely clear,No,1834,prosp_hl,Yes,u7Sdera2XroyoyR,8253,,Yes,
2,1,Clear,No,845,prosp_hl,Yes,SEdnuGj27aLNbHz,1001,,Yes,
1,2,Clear,No,2798,prosp_hl,Yes,ibW2E5ZCs0QuMZi,2004,,No,
1.5,8,Clear,No,3157,prosp_hl,Yes,6gOx4iL2O816fTL,8357,,Yes,
55,48,Completely clear,No,2426,prosp_hl,No,nEJfFS58pc1uTGb,48617,,Yes,
7,8,Completely clear,No,2286,prosp_hl,Yes,IOcgm81oGPS9FhM,8252,,No,
2,3,Completely clear,No,3499,prosp_hl,Yes,aGuwcUaqxQGDM0S,3253,,Yes,
5,6,Clear,No,1821,prosp_hl,Yes,2Yxp7QM3EE0LDPZ,6360,,Yes,
75,48,Completely clear,No,982,prosp_hl,Yes,Y1MlKYoQxPy49r8,90979,,Yes,
10,6,Completely clear,No,4021,prosp_hl,Yes,SvRrOOoEPJGLyyj,6251,,No,
